;start_timestamp;end_timestamp;chord;song_name
0;0.0;1.6718;F:maj7/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
1;1.6718;3.1579;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
2;3.1579;3.5294;G:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
3;3.5294;5.2013;C:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
4;5.2013;7.3375;G:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
5;7.3375;9.9381;D:maj/5;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
6;9.9381;10.3097;B:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
7;10.3097;12.0744;C:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
8;12.0744;13.7462;D:maj/5;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
9;13.7462;15.2323;F:maj7;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
10;15.2323;17.0899;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
11;17.0899;18.8546;C:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
12;18.8546;20.4336;D:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
13;20.4336;23.963;F:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
14;23.963;25.6348;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
15;25.6348;26.8423;Ab:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
16;26.8423;27.3067;E:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
17;27.3067;28.8856;C:maj/5;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
18;28.8856;30.5575;Gb:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
19;30.5575;33.3439;F:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
20;33.3439;38.8238;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
21;38.8238;40.4956;Ab:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
22;40.4956;42.1674;C:maj/5;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
23;42.1674;43.8393;D:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
24;43.8393;47.1829;F:maj7;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
25;47.1829;47.5545;G:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
26;47.5545;50.5266;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
27;50.5266;52.2913;C:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
28;52.2913;53.8703;D:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
29;53.8703;55.5421;F:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
30;55.5421;56.7496;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
31;56.7496;57.214;G:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
32;57.214;58.7929;C:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
33;58.7929;61.022;G:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
34;61.022;63.9942;D:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
35;63.9942;65.666;C:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
36;65.666;67.3379;D:maj/5;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
37;67.3379;70.2171;F:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
38;70.2171;70.5887;B:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
39;70.5887;72.4463;C:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
40;72.4463;74.211;D:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
41;74.211;79.3194;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
42;79.3194;80.341;Ab:maj;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
43;80.341;81.8271;A:min7;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
44;81.8271;82.663;C:maj/5;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
45;82.663;84.242;D:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
46;84.242;87.4928;F:maj7;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
47;87.4928;87.9572;G:maj/3;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
48;87.9572;90.0005;A:min;001_Led Zeppelin-1971-Led Zeppelin IV-04-Stairway To Heaven
0;0.0;1.1146;G:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
1;1.1146;1.9505;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
2;1.9505;4.1796;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
3;4.1796;5.2941;G:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
4;5.2941;6.4087;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
5;6.4087;9.6595;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
6;9.6595;10.7741;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
7;10.7741;14.1177;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
8;14.1177;15.2323;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
9;15.2323;34.1798;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
10;34.1798;36.2231;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
11;36.2231;37.6163;N;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
12;37.6163;39.2882;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
13;39.2882;40.3098;D:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
14;40.3098;41.9817;G:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
15;41.9817;44.2108;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
16;44.2108;45.4182;B:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
17;45.4182;48.4833;G:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
18;48.4833;51.4554;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
19;51.4554;52.2913;D:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
20;52.2913;55.635;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
21;55.635;57.214;D:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
22;57.214;57.957;E:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
23;57.957;59.4431;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
24;59.4431;60.0004;B:7/5;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
25;60.0004;60.9292;B:min/b3;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
26;60.9292;62.9725;E:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
27;62.9725;64.18;A:maj/5;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
28;64.18;65.2016;D:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
29;65.2016;66.4091;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
30;66.4091;67.7094;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
31;67.7094;69.2883;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
32;69.2883;70.6815;E:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
33;70.6815;71.7961;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
34;71.7961;85.2637;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
35;85.2637;86.6569;G:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
36;86.6569;87.3999;A:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
37;87.3999;89.629;E:min;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
38;89.629;90.0005;G:maj;002_Jimi Hendrix-1984-Kiss The Sky-07-Purple Haze
0;0.0;1.3932;C:maj;003_The Devil's Rejects-24-Lynyrd Skynyrd-Free Bird
1;1.3932;5.5728;D:maj;003_The Devil's Rejects-24-Lynyrd Skynyrd-Free Bird
2;5.5728;7.709;G:maj;003_The Devil's Rejects-24-Lynyrd Skynyrd-Free Bird
